id,通用名称,药品名称,注意事项,注意事项关系
70,盐酸多奈哌齐片,,应当由一个在阿尔茨海默病的诊断和治疗方面有经验的医师开始并监督盐酸多奈哌齐的治疗。通过公认的标准(如DSMIV，ICD10)来诊断，只有当患者有可靠的照料者并且能够经常监控病人服用药物时才能开始多奈哌齐的治疗。治疗可以一直持续，只要对病人治疗的益处一直存在。因此，多奈哌齐的临床疗效应当定期被重新评估。当治疗的益处不再存在时，应当考虑中止治疗。每个病人对于多奈哌齐的反应是不能被预估的。对于那些严重的阿尔茨海默病病人，其它类型的痴呆或其它类型的记忆损伤(例如:与年龄相关的认知功能减退)病人应用盐酸多奈哌齐的效果还未全面观察。麻醉:盐酸多奈哌齐为胆碱酯酶抑制剂，麻醉时可能会增强琥珀酰胆碱型药物的肌肉松弛作用。心血管系统:胆碱酯酶抑制剂因其药理作用可对心率产生迷走样作用(如心动过缓)，患有“病窦综合征”或其它室上性心脏传导疾病病人需尤其注意。曾有晕厥和癫痫发生的报道。需特别注意观察那些可能患有心脏传导阻滞或窦性停搏的病人。*在昏厥或癫痫病人中，要考虑心脏传导阻滞或长期窦性间隙。**如出现精神紊乱症状（幻觉、易激葱、攻击行为），应减少剂量或停止用药。(详见包装内部说明书),
71,长春胺缓释胶囊,,1.本品不具有长期抗高血压用，因此不能代替抗高血压治疗。2.心律失常低血钾患者慎用。,心律失常低血钾-慎用
72,盐酸多奈哌齐片,,应当由一个在阿尔茨海默型痴呆的诊断和治疗方面有经验的医师开始并监督盐酸多奈哌齐的治疗。通过公认的标准（如DSMIV，ICD10）来诊断，只有当患者有可靠的照料者并且能够经常监控病人服用药物时才能开始多奈哌齐的治疗。治疗可以一直持续，只要对病人治疗的益处一直存在。因此，多奈哌齐的临床疗效应当定期被重新评估。当治疗的益处不再存在时，应当考虑中止治疗。每个病人对于多奈哌齐的反应是不能被预估的。对于那些严重的阿尔茨海默型痴呆病人，其它类型的痴呆或其它类型的记忆损伤(例如与年龄相关的认知功能减退)病人应用盐酸多奈哌齐的效果还未全面观察。,
73,重酒石酸卡巴拉汀胶囊,,作为胆碱酯酶抑制剂，重酒石酸卡巴拉汀可以提高琥珀酰胆碱型肌松剂的作用。因此，在麻醉前，应该有合适的间歇期停止服用本品。本品不应与其它拟胆碱药物合用，与抗胆碱能药物合用时可能会干扰其作用（参见,
74,盐酸多奈哌齐口腔崩解片,,1.麻醉盐酸多奈哌齐为胆碱酯酶抑制剂麻醉时可能会增强琥珀酰胆碱型药物的肌肉松弛作用;2.心血管系统胆碱酯酶抑制剂因其药理作用可对心率产生迷走样作用(如心动过缓)患有“病窦综合征”或其它室上性心脏传导疾病病人需尤其注意，曾有晕厥和癫痫发生的报道需特别注意观察那些可能患有心脏传导阻滞或窦性停搏的病人在昏厥或癫痫病人中要考虑心脏传导阻滞或长期窦性间隙有包括幻觉易激惹和攻击行为的精神紊乱症状的报告解决的办法是减量或停止治疗;3.对驾驶及操作机器能力的影响阿尔茨海默病可能会影响驾驶或操作机器的能力另外多奈哌齐可以引起乏力头晕盒肌肉痉挛主要是在开始服用药物或增加药物剂量时对于服用多奈哌齐的阿尔茨海默病病人继续驾驶或操作复杂机器的能力应当由治疗医师作出常规的评估;4.消化系统对于患溃疡病危险性增大的病人例如有溃疡病史或合用非甾体抗炎药物的(NSAS)病人应监测其症状但在盐酸多奈哌齐的临床试验中与安慰剂相比消化性溃疡或胃肠道出血的发病率未见增加;5.泌尿生殖系统拟胆碱药物可引起膀胱排出受阻但在盐酸多奈哌齐临床试验中未见此作用;6.神经系统拟胆碱作用可能造成癫痫大发作但癫痫也可能是阿尔茨海默病的表现之一，拟胆碱药有可能加重或诱发锥体外系症状;7.呼吸系统因其拟胆碱作用有哮喘史或阻塞性肺疾病史的病人应慎用服用盐酸多奈哌齐时应避免合用其它乙酰胆碱酯酶抑制剂胆碱能系统的激动剂或拮抗剂;8.严重肝功能不全目前尚无针对严重肝功能不全患者的资料，如果出现不能解释的肝功能异常应当考虑停用盐酸多奈哌齐。,肝功能异常-停用
75,尼麦角林胶囊,,1、应在医生指导下使用。2、通常本品在治疗剂量时对血压无影响，但对敏感患者可能会逐渐降低血压。可能增加降压药的作用，因此与降压药合用应慎重。3、慎用于高尿酸血症的患者或有痛风史的患者，慎与可能影响尿酸代谢的药物合用。4、肾功能不全者应减量。服药期间禁止饮酒。5、使用本品期间，如出现任何不良事件和/或不良反应，请咨询医生。6、同时使用其他药品，请告知医生。7、请放置于儿童不能够初级的地方。,高尿酸血症-慎用，痛风-慎用，肾功能不全-减量，饮酒-禁止，
76,重酒石酸卡巴拉汀胶囊,,作为胆碱酯酶抑制剂，重酒石酸卡巴拉汀可以提高琥珀酰胆碱型肌松剂的作用。因此，在麻醉前，应该有合适的间歇期停止服用本品。本品不应与其它拟胆碱药物合用，与抗胆碱能药物合用时可能会干扰其作用（参见,
77,盐酸帕罗西汀片,,）。,
78,草酸艾司西酞普兰片,,抗抑郁剂不适用于儿童和18岁以下的青少年。在儿童和18岁以下的青少年的临床试验中，发现本品组发生于自杀相关的行为(自杀企图和自杀观念)和敌意(攻击性，对抗行为和易怒)的频率高于安慰剂组。即使是为了临床试验，仍需密切监测患者的自杀表现。,儿童-不适用，18岁以下的青少年-不适用
79,盐酸舍曲林片,,一般注意事项1、引起躁狂/轻躁狂在上市前的试验中，接受舍曲林治疗的病人约0.4%出现轻躁狂或躁狂。2、体重下降一些患者应用本品时，可能出现显著体重下降。但平均而言，在临床对照试验中，与安慰剂比较，应用舍曲林后仅出现轻微的1或2磅的体重下降。罕见患者因体重下降而停药。3、痫性发作本品尚未在癫痫患者中进行评估。本品上市前临床试验中排除了这些患者。应用本品治疗约3000例的抑郁症患者中，未发现痫性发作者。然而，在约1800名（有220名患者18岁）接受舍曲林治疗的强迫症患者中，有4人（约0.2%）出现痫性发作，其中3例患者为青少年，2例患有癫痫，1例患者有癫痫家族史，所有这4例患者都没有接受抗惊厥药物治疗。因此，癫痫患者应慎用舍曲林。4、停用舍曲林治疗舍曲林和其它SSRIs和SNRIs（5-羟色胺及去甲肾上腺素再摄取抑制剂）上市后，有停药时发生不良事件的自发性报告，尤其是在突然停药时，包括下列症状情绪烦躁、易激惹、激越、头晕、感觉障碍[如感觉异常（如电击样感觉）]、焦虑、意识模糊、头痛、昏睡、情绪不稳定、失眠和轻躁狂。尽管这些事件一般为自限性，但曾有严重停药症状的报告。详见内包装说明书。,
80,草酸艾司西酞普兰片,,由于缺乏足够的临床资料，因此18岁以下儿童或青少年建议不要使用本品。下列的特殊警告和慎用适用于各种SSRI类药物。一些惊恐障碍患者在接受抗抑郁药物治疗初期，可能会加重焦虑症状，这种矛盾性反应通常在持续治疗两周后会逐渐减轻。建议降低起始剂量可以减少药物的这种致焦虑效应。癫痫发作，出现癫痫发作的患者应停止用药。SSRI类药物应避免用于不稳定的癫痫发作患者，应该对已经得到控制的癫痫发作患者在治疗期间进行监测。如果癫痫发作频率增加，应该停用SSRI类药物。SSRI类药物应慎用于有躁狂或轻躁狂发作史的患者。转为躁狂发作的患者应停止使用SSRI类药物。糖尿病，对于糖尿病患者，使用SSRI类药物治疗可能会影响对血糖的调节。使用胰岛素和/或口服降糖药的患者，需要调整这些药物的剂量。自杀，通常在SSRI类药物治疗的初期可能会增加自杀的风险，这个时期对患者进行密切监测非常重要。低钠血症，罕有使用SSRI类药物出现低钠血症(可能是由于抗利尿激素的异常分泌引起的)的报告，通常在停止药物治疗后症状缓解。有这类危险的患者如老年人、肝硬化患者或合并已知可以引起低钠血症的药物时应注意。出血，有使用SSRI类药物发生皮下出血的报告，如瘀斑和紫癜。建议在下列人群中使用SSRI类药物应谨慎，包括合并使用口服抗凝剂的患者、或者合并使用已知对血小板功能有影响的药物(如非典型抗精神病药物和吩噻嗪类药物、大部分三环类抗抑郁药物、乙酰水杨酸和非甾体抗炎药物、噻氯匹定和双嘧达莫)和已知有出血倾向的患者。电抽搐治疗。目前关于合用SSRI类药物和电抽搐治疗只有有限的临床经验，因此建议慎重。可逆性、选择性MAO_A抑制剂，一般不推荐本品与MAO_A抑制剂合用，因为可能存在5-羟色胺综合征的危险。与非选择性、不可逆性MAO抑制剂的合并使用见药物相互作用项。5-羟色胺综合征，建议本品与5-羟色胺能药物(如舒马曲坦或其它曲坦类药物、曲马多和色氨酸)合用时应谨慎.有罕见病例报告合并使用SSRI类药物和5-羟色胺能药物治疗时出现了5-羟色胺综合征。合并后如果出现了下述症状，如激越、震颤、肌阵挛和高热等，提示可能发生了5-羟色胺综合征。如果出现这种问题，应立即停用SSRI和5-羟色胺能药物，并给予对症治疗。圣约翰草，合并使用SSRI类药物和含有圣约翰草(金丝桃素)的中草药可能会增加不良反应的发生。撤药反应，停止本品治疗时，建议在1-2周内逐渐停药，以避免发生撤药反应。对驾驶及操作机器能力的影响，尽管研究显示本品不影响智力水平和精神运动性操作，但任何精神活性药物都可能影响判断和技能。患者应注意可能影响驾驶汽车和操作机器能力的潜在危险性。,18岁以下儿童或青少年-不适用，驾驶汽车-注意，操作机器-注意
81,盐酸帕罗西汀片,,1、闭角型青光眼、癫痫病、肝肾功能不全等患者慎用或减少用量。2、出现转向躁狂发作倾向时应立即停药。3、用药期间不宜驾驶车辆、操作机械或高空作业。（详见说明书）,闭角型青光眼-慎用，癫痫病-慎用，肝肾功能不全-慎用，躁狂发作-停用，驾驶车辆-不宜，操作机械-不宜，高空作业-不宜
82,盐酸文拉法辛缓释胶囊,,1.如同其他抗抑郁药，有躁狂、惊厥和癫痫史的患者应慎用。2.对眼内压升高或急性窄角青光眼的病人应慎用。3.对有自杀企图的病人应密切监视。处方时一次量不宜过多。家属应保管好药物，以免过量服用中毒。4.对肝肾功能受损的患者应慎用或减量服用。5.如同其他精神性药物，服用本品患者应避免操作带有危险性的机动装置，如驾驶汽车等。6.妊娠和哺乳妇女不宜使用本品，除医生认为利大于弊时方可使用。7.病人一旦出现皮疹等过敏现象，应与医生联系并停药。8.如同其他5-羟色胺再摄取抑制剂，皮肤和粘膜易出血的病人应慎用。,躁狂-慎用，惊厥-慎用，癫痫-慎用，眼内压升高-慎用，急性窄角青光眼-慎用，肝肾功能受损-慎用，驾驶汽车-不宜，妊娠-不宜，哺乳妇女-不宜，皮疹-停药，皮肤和粘膜易出血-慎用，皮肤易出血-慎用，粘膜易出血-慎用
83,盐酸帕罗西汀片,,成人或儿童重度抑郁症(MDD)患者无论是否服用抗抑郁药物．都可能会出现抑郁症状恶化和/或出现自杀意念和自杀行为（自杀倾向）．患病期间这种危险性持续存在．直至病情得到显著缓解。自杀是抑郁及某些其他精神疾病的一种已知风险，这些疾病本身就是发生自杀最强烈的预测因子。长期以来一直认为抗抑郁药治疗的早期会诱导某些患者病情恶化和出现自杀倾向．抗抑郁药物（SSRls类和其他种类）的短期．安慰剂对照临床试验数据的综合分析显示，在儿童．青少年以及青年患者（18-24岁）中，这些药物会增加重度抑郁症和其他精神疾病患者的自杀意念和自杀行为（自杀倾向）．抗抑郁药物的短期临床试验显示．与安慰剂相比较．在24岁以上的成人患者中自杀风险没有升高，在65岁以上的成人息害中自杀风险反而有下降。(详见内包装说明书),
84,盐酸文拉法辛缓释片,,"闭角型青光眼、癫痫患者慎用；严重心脏疾患、高血压、甲状腺疾病、血液病患者慎用；肝肾功能不全者慎用或酌情减量；大剂量服用时应监测血压；孕妇和儿童应小心服用；患者出现有转向躁狂发作倾向时应立即停药；用药期间应尽量避免烟酒；需停药时应逐渐减少剂量,避免骤停骤加；食物对本品吸收无影响，为减少胃肠道不良反应，要求在餐中或餐后服用，避免餐前空腹服用。1.有躁狂史和癫痫的患者应慎用本品。癫痫发作应停用本品。2．有心脏病、高血压及甲状腺疾病、血液病患者应慎用本品。3．有中等肝硬化的患者，应降低50%的剂量，有轻度到中度肾损害的病人，每日剂量降低25%。4．18岁以下及老年患者服用本品应小心。5．目前尚无有关和电休克联合治疗的经验。6．用药期间避免饮酒。7．停药时应逐渐减小剂量，已应用本品6周或更长时间，应在两周内逐渐减量。","闭角型青光眼-慎用，癫痫病-慎用，肝肾功能不全-慎用，严重心脏疾患-慎用，高血压-慎用，甲状腺疾病-慎用，血液病-慎用，血压-检查，孕妇-注意，儿童-注意，躁狂发作-停用，癫痫-停用，中等肝硬化-减量、"
85,米氮平片,,1.对米氮平过敏者禁用。在治疗抑郁症的过程中，绝大多数的抗抑郁药都曾被报道有引起骨髓抑制的副作用，其表现通常为粒细胞减少或粒细胞缺乏症。这种现象多在用药4-6周后出现，停药后大都能恢复正常。临床试验曾报道，本药在极少数病人中也可引起这种可逆性的粒细胞缺乏症，因此医生在治疗过程中应注意，一旦发现病人有发烧、喉痛或其它感染症状，应立即停止用药，并作周围血象检查。2.对以下病症患者，应注意用药剂量并定期仔细检查癫痫和器质性脑综合征临床经验证明，本药极少引起不良后果。肝、肾功能不良。心脏病和传导阻滞，心绞痛和近期发作的心肌梗塞对这类病症应采取常规预防措施，并谨慎服用其它药物。低血压。与服用其它抗抑郁药一样，下列患者在服3.用本药时应予以注意排尿困难如前列腺肥大患者（尽管本药仅有很弱的抗胆碱能作用而不会引起副作用）。急性窄角性青光眼和眼内压增高的病人（尽管本药仅有很弱的抗胆碱能作用）。糖尿病患者。出现黄疸时应停止用药。此外，如同其它抗抑郁药一样，下列问题应予以注意患精神分裂症及其它精神病的患者服用抗抑郁药后，其症状有加重的可能性，狂想症状也有可能加重。处于抑郁的躁狂期。如患者具有自杀倾向，尤其在治疗早期，所开出本药数量应予限制。虽然抗抑郁药无成瘾性，但长期服用后突然停药有可能引起恶心，头疼及不适。对驾驶及机械操作能力的影响本药有可能影响注意力和机动性，使用本药的病人应避免从事需较好注意力和机动性的操作活动。对妊娠及哺乳的影响尚无足够的临床试验结果可以用来评价本药对妊娠的影响。动物试验中该药对胚胎无毒副作用。虽然仅有极少量的药物成分可从动物的乳汁中分泌出来，由于缺乏临床试验数据资料，因此不建议哺乳期的病人服用该药。对儿童的影响由于该药对于儿童有效性和安全性尚未被证实，因此不建议儿童使用该药。,肝、肾功能不良-慎用，肝功能不良-慎用，肾功能不良-慎用，心脏病-慎用，传导阻滞-慎用，心绞痛-慎用，心肌梗塞-慎用，排尿困难-慎用，前列腺肥-慎用，急性窄角性青光眼-慎用，眼内压增高-慎用，哺乳期-慎用，儿童-慎用
86,盐酸文拉法辛缓释胶囊,,1.如同其他抗抑郁药，有躁狂、惊厥和癫痫史的患者应慎用。2.对眼内压升高或急性窄角青光眼的病人应慎用。3.对有自杀企图的病人应密切监视。处方时一次量不宜过多。家属应保管好药物，以免过量服用中毒。4.对肝肾功能受损的患者应慎用或减量服用。5.如同其他精神性药物，服用本品患者应避免操作带有危险性的机动装置，如驾驶汽车等。6.妊娠和哺乳妇女不宜使用本品，除医生认为利大于弊时方可使用。7.病人一旦出现皮疹等过敏现象，应与医生联系并停药。8.如同其他5-羟色胺再摄取抑制剂，皮肤和粘膜易出血的病人应慎用。(详见内包装说明书)。,躁狂-慎用，惊厥-慎用，癫痫-慎用，眼内压升高-慎用，急性窄角青光眼-慎用，肝肾功能受损-慎用，驾驶汽车-不宜，妊娠-不宜，哺乳妇女-不宜，皮疹-停药，皮肤和粘膜易出血-慎用，皮肤易出血-慎用，粘膜易出血-慎用
87,米氮平片,,1.多数抗抑郁药使用时，均有骨髓抑制的现象，表现为粒性白血球减少和粒性白细胞缺乏症，此症状多发生在用药后的4~6周内，停药后多数可恢复正常。在米氮平的临床研究中极少数病人也曾出现这种可逆性白细胞缺乏症，因此医生在治疗过程中应注意，如病人有发热、咽喉痛、胃痛及其它感染症状时应停止用药，并作周围血象检查。2.对以下病症患者，应注意用药剂量并定期作仔细检查1)癫痫病及器质性脑组织综合症:临床经验证明使用米氮平治疗极少会引起不良反应。2)肝肾功能不全者。3)有心血管疾病，如传导组滞、心绞痛及近期发作的心肌梗塞。这类病症应采取常规预防措施并谨慎服用其它药物。4)低血压者。3.和其它抗抑郁药一样，下列病人服用米氮平时应予以注意1)排尿困难如前列腺肥大者(尽管米氮平仅有微弱的抗胆碱能活性，使用时极少引起不良反应)。2)急性狭角性青光眼的眼内压升高(同样由于米氮平仅有微弱的抗胆碱能活性，情况很少发生)。3)糖尿病患者。4.如病人出现黄疸应立即中止治疗。5.此外，与其它抗抑郁药一样，下列情况也应加以注意1)用抗抑郁药物来治疗有精神分裂症及其它精神性病的患者，精神病症状有可能恶化，虚妄的念头也会加重。2)处于躁狂~抑郁阶段病人使用时，可能会引发躁狂症。3)考虑到病人有可能自杀，特别是治疗的初期，因而米氮平片的处方剂量应予以限制。4)虽然抗抑郁药物无致瘾性，但长期使用突然停药后，有可能导致恶心、头痛及不适。6.对于抗抑郁药的不良反应，老年人通常更加敏感，但米氮平的临床实验中，未见老年组病人中表现出更多不良反应。然而这方面的临床经验还很有限。服用本品可能影响注意力和反应性，因此，应避免从事需较高注意力和反应性要求的操作活动，如驾驶等。(详见包装内部说明书),发热-停用，咽喉痛-停用，胃痛-停用，癫痫-慎用，肝肾功能-慎用，心血管疾病-慎用，传导组滞-慎用，心绞痛-慎用，心肌梗塞-慎用，排尿困难-慎用，前列腺肥大者-慎用，急性狭角性青光眼-慎用，眼内压升高-慎用，糖尿病-慎用，黄疸-慎用，驾驶-慎用
88,利培酮片,,1.患有心血管疾病（如心衰、心肌梗塞、传导异常、脱水、失血及脑血管病变）的人应慎用，从小剂量开始并应逐渐增加剂量。2.由于本品具有α受体阻断活性，因此在用药初期和加药速度过快时会发生（体位性）低血压，此时则应考虑减量。3.同其它具有多巴胺受体拮抗剂性质的药物相似，引起迟发性运动障碍，其特征为有节律的不随意运动，主要见于舌及面部。如果出现迟发性运动障碍，应停止服用所有的抗精神病药。4.已有报道指出，服用经典的抗精神病药会出现恶性症状群，其特征为高热、肌肉僵直、颤抖、意识改变和肌酸磷酸激酶水平升高。此时应停用包括本品在内的所有抗精神病药物。5.患有帕金森氏综合症的病人应慎用本品，因为在理论上该药会引起此病的恶化。6.经典的抗精神病药会降低癫痫的发作阈值，故患有癫痫的病人仍应慎用本品。7.服用本品的患者应避免进食过多，以免发胖。8.鉴于本品对中枢神经系统的作用，在与其它作用于中枢的药物同时服用时应慎重。9.本品对需要警觉性的活动有影响。因此，在了解到患者对该药的敏感性前，建议患者不应驾驶汽车或操作机器。10.尚未系统评估本品与其它药物合用的风险，鉴于本品对中枢神经系统的作用，在与其它作用于中枢系统的药物合用时应慎重。,心血管疾病-慎用，心衰-慎用，心肌梗塞-慎用，传导异常-慎用，脱水-慎用，失血-慎用，脑血管病变-慎用，体位性低血压-减量，迟发性运动障碍-停用，恶性症状群-停用，高热-停用，肌肉僵直-停用，颤抖-停用，意识改变-停用，肌酸磷酸激酶水平升高-停用，帕金森氏综合症-慎用，癫痫-慎用，中枢的药物-慎用，驾驶汽车-不宜，操作机器-不宜
89,盐酸度洛西汀肠溶胶囊,,"一般注意事项肝脏毒性-度洛西汀有增加血清转氨酶水平的风险。肝脏转氨酶升高导致0.4%（31/8454）度洛西汀治疗的患者中断治疗。这些患者出现转氨酶升高的时间中位数为2个月。在抑郁症患者中进行的对照试验中，09%(8/930)用度洛西汀治疗的患者ALT升高超过正常上限3倍以上,而安慰剂组中为0.3%(2/652)。所有安慰剂对照研究中，度洛西汀组中有1%（39/3732）的患者ALT升高超过正常上限3倍以上，而安慰剂组中为0.2%(6/2568)。固定剂量的安慰剂对照研究中，有证据显示ALT升高超过正常上限3倍和AST升高超过正常上限5倍，与药物剂量有量效关系。度洛西汀通常不用于有习惯性饮酒和慢性肝病患者的治疗。治疗开始前应测量血压，治疗后应定期测量。在酒精使用患者或既往有肝病史的患者中，度洛西汀应慎用。既往有癫痫发作史的患者慎用度洛西汀。既往有躁狂史的患者慎用度洛西汀停药-已对度洛西汀的停药症状做过系统研究。在抑郁症患者中进行的为期9周的安慰剂对照试验中，骤停药物，观察到度洛西汀治疗的患者发生率2%或明显高于骤停安慰剂的症状包括头晕，恶心，头痛。?(详见内包装说明书)。",血压-检查，酒精-慎用，肝病-慎用，癫痫-慎用，躁狂史-停用，
90,马来酸氟伏沙明片,,1、抑郁症病人自身常有自杀倾向，常在症状明显改善前持续出现。2、对肝或肾功能异常的病人，起始剂量应较低并密切监控。偶见无已知肝功异常的患者服药后出现肝酶升高，且多伴临床症状。若出现此情况，应立即停药。3、动物实验未发现本品可引发惊厥，但有癫痫史的患者应慎用，如惊厥发生应立即停用本品。4、有报告应用5-羟色胺再摄取抑制剂有皮肤粘膜异常出血，如淤斑和紫癜。同时应用影响血小板功能的药物（TCAs，阿斯匹林，NSAs等），以及有不正常出血史患者慎用。5、马来酸氟伏沙明在临床上可引起轻微心律减慢（2-6次/分）。6、对驾驶和操作机器能力的影响健康志愿者，每天服用本品3片，对驾驶或机械操作没有影响。但有报告表明，用药后可能会出现困倦，驾驶与操作机器者应注意。,肝酶升高-停用，
91,草酸艾司西酞普兰片,,抗抑郁剂不适用于儿童和18岁以下的青少年。在儿童和18岁以下的青少年的临床试验中，发现本品治疗组发生与自杀相关的行为（自杀企图和自杀观念）和敌意（攻击性，对抗行为和易怒）的频率高于安慰剂组。即使是为了临床试验临床需要，仍需密切监测患者的自杀征兆。下列的特殊警告和慎用适用于各类SSRI类药物1.矛盾性焦虑。建议降低起始剂量可以减少药物的这种致焦虑效应。2.癫痫发作。3.SSRI类药物应慎用于有躁狂或轻躁狂发作史的患者。4.糖尿病。使用SSRI类药物治疗可能会影响对血糖的调节。5.自杀、自杀观念或病情恶化。6.静坐不能/精神运动不安。7.低钠血症。罕有使用SSRI类药物出现低钠血症（可能是由于抗利尿激素的异常分泌引起的）的报告，通常在停止药物治疗后症状缓解。8.出血。有使用SSRI类药物发生皮下出血的报告，如瘀斑和紫癜。9.电抽搐治疗（ECT）。目前关于合用SSRI类药物和电抽搐治疗只有有限的临床经验，因此，建议慎重。10.可逆性、选择性MAO-A抑制剂。11.建议本品与5-羟色胺能药物（如舒马曲坦或其它曲坦类药物、曲马多和色氨酸）合用时应谨慎。12.合并使用SSRI类药物和含有圣约翰草（金丝桃素）的中草药可能会增加不良反应的发生。13.停药症状。14.对驾车及操作机器能力的影响。,儿童-不适用，18岁以下的青少年-不适用，矛盾性焦虑-慎用，癫痫-慎用，躁狂-慎用，轻躁狂-慎用，糖尿病-慎用，自杀-慎用，静坐不能-慎用，精神运动不安-慎用，低钠血症-慎用，出血-慎用，电抽搐-慎用，可逆性MAO_A抑制剂-慎用，选择性MAO_A抑制剂-慎用，可逆性、选择性MAO-A抑制剂-慎用，5-羟色胺-慎用，驾车-停用，操作机器-停用
92,盐酸度洛西汀肠溶片,,有增加血清转氨酶水平的风险等详见说明书。,
93,盐酸曲唑酮片,,1．进行有潜在危险任务(如开车或开机器)者，用药期间须加小心。2．本品应在餐后服用，禁食条件或空腹服药可能会使头晕或头昏增加。3．本品和全麻药的相互作用了解甚少，因而在择期手术前，本品应在临床许可的情况下尽早停用。4．服用本品的病人偶尔会出现白细胞总数和中性粒细胞计数减低，若白细胞计数低于正常范围，则应该停药观察。对于在治疗期间出现发热或咽喉疼痛或其他感染症状的病人，建议检查白细胞及分类计数。5．癫痫患者、肝肾功能不良者慎用。,开车-注意，开机器-注意，白细胞及分类计数-检查，癫痫患者-慎用，肝肾功能不良-慎用
94,米氮平片,,1.多数抗抑郁药使用时，均有骨髓抑制的现象，表现为粒性白血球减少和粒性白细胞缺乏症，此症状多发生在用药后的4—6周内，停药后多数可恢复正常。在米氮平的临床研究中极少数病人也曾出现这种可逆性白细胞缺乏症，因此医生在治疗过程中应注意，如病人有发热、咽喉痛、胃痛及其它感染症状时应停止用药，并作周围血象检查。2.对以下病症患者，应注意用药剂量并定期作仔细检查;1)癫痫病及器质性脑组织综合症临床经验证明使用米氮平治疗极少会引起不良反应。2)肝肾功能不全者。3)有心血管疾病，如传导阻滞、心绞痛及近期发作的心肌梗塞。这类病症应采取常规预防措施并谨慎服用其它药物。4)低血压者。3.和其它抗抑郁药一样，下列病人服用米氮平时应予以注意;1)排尿困难如前列腺肥大者。(尽管米氮平仅有微弱的抗胆碱能活性，使用时极少引起不良反应)2)急性狭角性青光眼的眼内压升高。(同样由于米氮平仅有微弱的抗胆碱能活性，情况很少发生)3)糖尿病患者。4.如病人出现黄疸应立即中止治疗。5.此外，与其它抗抑郁药一样，下列情况也应加以注意1)用抗抑郁药物来治疗有精神分裂症及其它精神性病的患者，精神病症状有可能恶化，虚妄的念头也会加重。2)处于躁狂-抑郁阶段病人使用时，可能会引发躁狂症。3)考虑到病人有可能自杀，特别是治疗的初期，因而米氮平片的处方剂量应予以限制。4)虽然抗抑郁药物无致瘾性，但长期使用突然停药后，有可能导致恶心、头痛及不适。6.对于抗抑郁药的不良反应，老年人通常更加敏感，但米氮平的临床实验中，未见老年组病人中表现现更多不良反应。然而这方面的临床经验还很有限。服用本品可能影响注意力和反应性，因此，应避免从事需较高注意力和反应性要求的操作活动，如驾驶等。,发热-停用，咽喉痛-停用，胃痛-停用，癫痫-慎用，肝肾功能-慎用，心血管疾病-慎用，传导组滞-慎用，心绞痛-慎用，心肌梗塞-慎用，排尿困难-慎用，前列腺肥大者-慎用，急性狭角性青光眼-慎用，眼内压升高-慎用，糖尿病-慎用，黄疸-慎用，驾驶-慎用
95,盐酸文拉法辛胶囊,,1．闭角型青光眼、癫痫患者慎用。2．严重心脏疾患、高血压、甲状腺疾病、血液病患者慎用。3．肝肾功能不全者慎用或减少用量。4．用药过程中应监测血压，血压升高应减量或停药。5．停用时应逐渐减少剂量，已应用本品6周或更长时间者，应在2周内逐渐减量。6．患者出现有转向躁狂发作倾向时应立即停药。7．用药期间不宜驾驶车辆、操作机械或高空作业。,"闭角型青光眼-慎用,癫痫病-慎用,肝肾功能不全-慎用,严重心脏疾患-慎用,高血压-慎用,甲状腺疾病-慎用,血液病-慎用,血压-检查，躁狂-停用，驾驶车辆-不宜，操作机械-不宜，高空作业-不宜"
96,盐酸度洛西汀肠溶胶囊,,"一般注意事项肝脏毒性-度洛西汀有增加血清转氨酶水平的风险。肝脏转氨酶升高导致0.4%（31/8454）度洛西汀治疗的患者中断治疗。这些患者出现转氨酶升高的时间中位数为2个月。在抑郁症患者中进行的对照试验中，09%(8/930)用度洛西汀治疗的患者ALT升高超过正常上限3倍以上,而安慰剂组中为0.3%(2/652)。所有安慰剂对照研究中，度洛西汀组中有1%（39/3732）的患者ALT升高超过正常上限3倍以上，而安慰剂组中为0.2%(6/2568)。固定剂量的安慰剂对照研究中，有证据显示ALT升高超过正常上限3倍和AST升高超过正常上限5倍，与药物剂量有量效关系。度洛西汀通常不用于有习惯性饮酒和慢性肝病患者的治疗。治疗开始前应测量血压，治疗后应定期测量。在酒精使用患者或既往有肝病史的患者中，度洛西汀应慎用。既往有癫痫发作史的患者慎用度洛西汀。既往有躁狂史的患者慎用度洛西汀停药-已对度洛西汀的停药症状做过系统研究。在抑郁症患者中进行的为期9周的安慰剂对照试验中，骤停药物，观察到度洛西汀治疗的患者发生率2%或明显高于骤停安慰剂的症状包括头晕，恶心，头痛，感",血压-检查，酒精-慎用，肝病-慎用，癫痫-慎用，躁狂史-停用，
97,盐酸阿米替林片,,肝、肾功能严重不全、前列腺肥大、老年或心血管疾患者慎用。使用期间应监测心电图。本品不得与单胺氧化酶抑制剂合用，应在停用单胺氧化酶抑制剂后14天，才能使用本品。患者有转向躁狂倾向时应立即停药。用药期间不宜驾驶车辆、操作机械或高空作业。,肝、肾功能严重不全-慎用，肝功能严重不全-慎用，肾功能严重不全-慎用，前列腺肥大-慎用，老年-慎用，心血管疾-慎用，心电图-检查，躁狂-停用，驾驶车辆-不宜，操作机械-不宜，高空作业-不宜
