病名-症型,症状,治法
产后血晕-血虚气脱证,产时失血过多 产后失血过多 晕昡 面色苍白 心悸愦闷 昏不知人 眼闭口开 手撒肢冷 冷汘淋漓 舌淡 无舌苔 脉微欲绝 脉浮大而虚,益气 固脱
产后血晕-瘀阻气闭证,产后恶露不下 恶露甚少 少腹疼痛拒按 头晕眼花 不能起坐 心下急满 气粗喘促 痰涌气急 神昏口噤 不省人事 两手握拳 牙关紧闭 面色青紫 唇舌紫暗 脉涩,行血 遂瘀
产后痉证-阴血亏虚证,产后出血过多 头项强直 四肢抽搐 牙关紧闭 面色苍白 面色萎黄 舌淡红 无舌苔 少舌苔 脉虚细无力,滋阴 养血 柔肝 息风
产后痉症-邪毒感染证,产后头项强痛 发热恶寒 牙关紧闭 口角抽动 面呈苦笑 项背强直 角弓反张 舌质淡红 苔薄白 脉浮大而弦,解毒 镇痉 理血 祛风
产后发热-感染邪毒证,产后发热恶寒 高热寒战 小腹疼痛拒按 恶露初时量多 后恶露量少 恶露色紫暗 恶露质如败酱 恶露臭秽 心烦不宁 口渴喜饮 小便短赤 大便燥结 舌红 舌苔黄 舌苔干 脉数有力,清热 解毒 凉血 化瘀
产后发热-外感风寒证,产后恶寒发热 头痛 身疼 鼻塞流涕 咳嗽 无汘 舌薄白 脉浮紧,养血 祛风 散寒 解表
产后发热-外感风热证,产后发热 微汘 汘岀恶风 头痛 咳嗽 黄痰 咽痛口干 口渴 恶露正常 无下腹痛 舌红 舌苔薄黄 脉浮数,辛凉 解表 疏风 清热
产后发热-血瘀证,产后乍寒乍热 恶露不下 恶露甚少 恶露色紫暗 恶露有块 小腹疼痛拒按 舌紫暗 舌有瘀点 舌有瘀斑 苔薄 脉弦涩有力,活血 祛瘀 和营 除热
产后发热-血虚证,产时失血过多 产后失血过多 身有微热 头晕眼花 心悸少寐 恶露或多或少 恶露色淡 恶露质稀 小腹绵绵作痛 小腹喜按 舌淡红 舌苔薄白 脉细弱,养血 益气 和营 退热
产后腹痛-气血两虚证,产后小腹隐隐作痛 小腹喜按喜揉 恶露量少 恶露色淡红 恶露质稀无块 面色苍臼 头晕眼花 心悸怔忡 大便干结舌质淡 苔薄白 脉细弱,补血 益气 缓急止痛
产后腹痛-瘀滞子宫证,产后小腹疼痛 小腹拒按 小腹得热痛缓 恶露量少 恶露涩滞不畅 恶露色紫暗 恶露有块 面色青白 胸胁胀痛 舌质紫暗 苔薄 脉沉紧 脉弦涩,活血 化瘀 温经 止痛
产后腹痛-寒凝血瘀证,产后小腹冷痛 小腹得热痛减 小腹不喜揉按 恶露量少 恶露色紫暗 恶露有块 面色青臼 四肢不温 舌质暗淡 苔白 脉沉紧,温经 散热 化瘀 止痛
产后恶露不绝-气虚证,产后恶露过期不止 恶露量多 恶露色淡红 恶露质稀 恶露无臭味 面色胱白 精神倦怠 四肢无力 气短懒言 小腹空坠 舌淡 苔薄白 脉缓弱,益气摄血 固冲
产后恶露不绝-血热证,产后恶露过期不止 恶露量较多 恶露色鲜红 恶露质黏稠 口燥咽干 面色潮红 舌红舌 苔少 脉细数无力,养阴 清热 凉血 止血
产后恶露不绝-血瘀证,产后恶露过期不止 恶露淋沥量少 恶露突然量多 恶露色暗有块 小腹疼痛拒按 块下痛减 舌紫暗 舌有瘀点 舌苔薄 脉弦涩,活血 化瘀 理血 归经
产后身痛-血虚证,产后遍身酸痛 肢体麻木 关节酸楚 面色萎黄 头晕心悸 舌淡 舌苔薄白 脉细无力,补血 益气 通络 止痛
产后身痛-血瘀证,产后遍身疼痛 关节刺痛 关节屈伸不利 关节按之痛甚 恶露量少 恶露色暗 小腹疼痛拒按 舌紫暗 舌苔薄白 脉弦涩,养血 活络 行瘀 止痛
产后身痛-外感证,产后遍身疼痛 项背不舒 关节不利 恶风畏寒 关节肿胀 关节重着 肢体麻木 舌淡 舌苔薄白 脉浮紧,养血 祛风 散寒 除湿
产后身痛-肾虚证,产后腰膝疼痛 产后足跟疼痛 艰于俯仰 头晕耳鸣 夜尿多 舌淡暗 舌苔薄 脉沉细弦,补肾 填精 强腰 壮骨
产后自汗盗汗-气虚证,产后汗出过多 恶风身冷 气短懒言 面色晄白 倦怠乏力 舌质淡 苔薄白 脉细弱,益气 固表 和营 止汗
产后自汗盗汗-阴虚证,产后睡中汘岀 面色潮红 头晕耳鸣 口燥咽干 渴不思饮 五心烦热 腰脓酸软 舌质红 舌苔少 脉细数,益气 养阴 生津 敛汗
产后大便难-血虚津亏证,产后大便干燥 大便艰涩难下 腹无胀痛 饮食正常 心悸少寐 肌肤不润 面色萎黄 舌淡 苔薄白 脉细弱,滋阴 养血 润肠 通便
产后大便难-脾肺气虚证,产后大便数日不解 大便难岀 神倦乏力 气短汘多 舌淡 苔薄白 脉缓弱,补脾 益肺 润肠 通便
产后大便难-阳明腑实证,产后大便艰结 大便多日不解 身微热 脘腹胀满疼痛 矢气臭秽 口臭 口舌生疮 舌红 舌苔黄 舌苔黄燥 脉弦数,通腑 泄热 养血 通便
产后小便不通-气虚证,产后小便不通 小便胀急疼痛 精神萎靡 气短懒言 倦怠乏力 面色少华 舌淡 苔薄白 脉缓弱,益气 生津 宣肺 行水
产后小便不通-肾虚证,产后小便不通 小便胀急疼痛 坐卧不宁 腰脓酸软 面色晦暗 舌淡 舌苔臼 脉沉细无力 尺脉弱,补肾 温阳 化气 利水
产后小便不通-气滞证,产后小便不通 小腹胀痛 情志抑郁 胸胁胀痛 乳房胀痛 烦闷不安 舌淡红 舌苔薄白 脉弦,疏肝 理气 行水 利尿
产后小便不通-血瘀证,产程不顺 产时损伤膀胱 产后小便不通产后 小便点滴而下 尿色混浊带血丝 小腹胀满刺痛 小腹乍寒乍热 舌暗 苔薄白 脉沉涩,养血 活血 祛瘀 利尿
产后小便淋痛-湿热蕴结证,产时不顺 产后突感小便频急 小便淋沥不畅 小便灼热刺痛 小腹疼痛胀急 尿黄赤 尿混浊 口渴不欲饮 心烦 舌红 舌苔黄腻 脉滑数,清热 利湿 通淋
产后小便淋痛-肾阴亏虚证,产后小便频数淋沥 尿道灼热疼痛 尿少 尿色深黄 五心烦热 腰膝酸软 头晕耳呜 舌红 少舌苔 脉细数,滋肾 养阴 通淋
产后小便淋痛-肝经郁热证,产后小便艰涩而痛 小便余沥不尽 尿色红赤 情志抑郁 心烦易怒 小腹胀干 大便干结 舌红 舌苔黄 脉弦数,疏肝 清热 通淋
缺乳-气血虚弱证,产后乳少 乳汁清稀 乳房柔软 乳房无胀感 面色少华 倦怠乏力 神疬食少 舌质淡 苔薄白 脉细弱,补齐 养血 佐以通乳
缺乳-肝郁气滞证,产后乳少 乳汁浓稠 乳房胀硬 乳房疼痛 胸胁胀满 情志抑郁 食欲不振 舌质正常 苔薄黄 脉弦 脉弦数,疏肝 解郁 通络 下乳
乳汁自出-气虚失摄证,产后乳汁自出 乳汁量少 乳汁质清稀 乳房柔软无胀感 面色神疲乏力 舌质淡 苔薄白 脉细弱,补气 养血 佐以固摄
乳汁自出-肝经郁热证,产后乳汁自岀 乳汁量多 乳汁质稠 乳房胀痛 胸胁胀满 情志抑郁 烦躁易怒 口苦咽干 便秘尿黄 舌质红 苔薄黄 脉弦数,疏肝 解郁 清热 敛乳
产后情志异常-心血不足证,产后精神抑郁 沉默寡言 情绪低落 悲伤欲哭 心神不宁 失眠多梦 健忘心悸 恶露量多 神疲乏力 面色苍白 面色萎黄 舌质淡 苔薄白 脉细弱,养血 滋阴 补心 安神
产后情志异常-肝气郁结证,产后心情抑郁 心烦易怒 心神不安 夜不入寐 恶梦纷纭 惊恐易醒 恶露量多 恶露量少 恶露色紫暗 恶露有血块 胸胁胀痛 乳房胀痛 舌淡红 舌苔薄 脉弦 脉弦细,疏肝 解郁 镇静 安神
产后情志异常-血瘀证,产后抑郁寡欢 默默不语 神思恍惚 失眠多梦 神志错乱 狂言妄语 喜怒无常 哭笑不休 恶露不下 恶露色紫暗 恶露有血块 小腹疼痛 小腹拒按 面色晦暗 舌质紫暗 舌有瘀斑 舌苔白 脉弦 脉涩,活血 化瘀 镇静 安神
不孕症-肾气虚证,婚久不孕 月经不调 停经 月经量多 月经量少 月经色淡暗 月经质稀 腰酸膝软 头晕耳鸣 精神疲倦 小便清长 舌淡 舌苔薄白 脉沉细 ,
不孕症-肾阳虚证,婚久不孕 初潮延迟 月经后期 月经量少 月经色淡 月经质烯 停经 带下量多 带下淸稀如水 腰膝酸冷 性欲淡漠 面色晦暗 大便溏薄 小便清长 舌淡 舌苔白 脉沉迟,
不孕症-肾阴虚证,婚久不孕 月经先期 月经量少 月经色红 月经质稠 停经 带下量少 阴中干涩 腰酸膝软 头晕耳鸣 形体消應 五心烦热 失眠多梦 舌淡 舌红 少舌苔 脉细 脉细数,
不孕症-肝气郁结证,婚久不孕 月经周期先后不定 月经量多 月经量少 月经色暗 月经有血块 经行腹痛 经前胸胁胀痛、经前乳房胀痛 情志抑郁 烦躁易怒 舌淡红 苔薄白 脉弦,
不孕症-痰湿内阻证,婚久不孕 月经后期 停经 带下量多 带下色白 带下质黏 形体肥胖 胸闷呕恶 心悸头晕 舌淡胖 苔白腻 脉滑,
不孕症-瘀滞胞宫证,婚久不孕 月经后期 月经量多 月经量少 月经色紫黑 月经有血块 痛经 小腹疼痛 少腹疼痛  肛门坠胀不适 舌质紫暗 舌边有瘀点 脉弦涩,
癥瘕-气滞血瘀证,下腹包块质硬 下腹胀 下腹痛 经期延长 月经量多 月经色暗 月经夹血块 经行小腹疼痛 精神抑郁 善太息 胸胁胀闷 乳房胀痛 面色晦暗 肌肤不润 舌质暗 舌边见瘀点 舌见療斑 苔薄白 脉弦涩,
癥瘕-寒凝血瘀证,下腹包块质硬 小腹冷痛 喜温 月经后期 月经量少 经行腹痛 月经色暗淡 月经有血块 面色晦暗 形寒肢冷 手足不温 舌质淡暗 舌边见瘀点 舌边见瘀斑 苔白 脉弦紧,
癥瘕-痰湿瘀结证,下腹包块按之不坚 小腹胀 小腹满 月经后期 闭经 月经质黏稠 月经夹血块 体形肥胖 胸脘痞闷 肢体困倦 带下量多 带下色白 带下质黏稠 舌暗淡 舌边见瘀点 舌边见瘀斑 苔白腻 脉弦滑 脉沉滑,
癥瘕-气虛血瘀证,下腹部结块 下腹空坠 月经量多 经期延长 月经色淡红 月经有血块 经行下腹痛 经后下腹痛 面色无华 气短懒言 语声低微 倦怠嗜卧 纳少便溏 舌质暗淡 舌边有瘀点 舌边有瘀斑 苔薄白 脉细涩,
癥瘕-肾虛血瘀证,下腹部积抉 下腹胀 下腹痛 月经后期 月经量多 月经量少 月经色紫暗 月经有血抉 面色晦暗 婚久不孕 腰膝酸软 小便凊长 夜尿多 舌质淡暗 舌边见瘀点 舌边见瘀斑 苔白润 脉沉涩,
癥瘕-湿热瘀阻证,下腹积块 小腹胀 小腹痛 带下量多 带下色黄 月经量多 经期延长 月经经色暗 月经有血抉 月经质黏稠 经行小腹疼痛 身热口渴 心烦不宁 大便秘结 小便黄赤 舌暗红 舌边见瘀点 舌边见瘀斑 苔黄腻 脉弦滑数,
阴挺-气虚证,子宫下移 子宫脱岀于阴道口外 劳则加剧 小腹下坠 少气赖言 四肢乏力 面色少华 小便频数  带下量多 色白质稀 舌淡苔薄 脉虚细,
阴挺-肾虚证,子宫下移 子宫脱出于阴道口外 劳则加剧 小腹下坠 腰膝酸软 头晕耳鸣 小便颎数 入夜尤甚 舌淡 苔薄 脉沉弱,
阴痒-肝肾阴虛,阴部干涩 阴部奇痒难忍 阴部皮肤变白 阴部皮肤増厚 阴部皮肤萎缩 阴部皮肤皲裂破溃 五心烦热 头晕目眩 时有烘热汘岀 腰酸膝软 舌红 苔少 脉弦细而数,
阴痒-湿热下注证,阴部瘙痒灼痛 带下量多 带下色黄如脓 带下稠黏 带下臭秽 头晕目眩 口苦咽干 心烦不宁 便秘溲赤 舌红 苔黄腻 脉弦滑而数,
阴痒-湿虫滋生证,阴部瘙痒 奇痒难忍 灼热疼痛 带下量多 带下色黄 带下呈泡沫状 带下色白如豆渣状 带下臭秽 心烦少寐 胸闷呃逆 口芒咽干 小便短赤 舌红 苔黄腻 脉滑数,
阴疮-热毒证,阴部生疮 灼热结块 溃烂流脓 黏稠臭秽 恶寒发热 头晕目眩 口苦咽干 心烦不宁 便秘尿黄 舌红 苔黄 脉滑数,
阴疮-寒湿证,阴疮坚硬 皮色不变 日久不愈 浓水淋沥 神疲倦怠 食少纳呆 舌淡 苔白腻 脉细弱,
急性盆腔炎-热毒炽盛证,下腹胀痛 下腹灼痛剧烈 髙热 壮热不退 恶寒 寒战 带下量多 带下色黄 带下赤白杂下 带下味臭秽 口苦烦渴 精神不振 月经量多 崩中下血 大便秘结 小便短赤 舌红 苔黄厚 舌苔黄 脉滑数 脉洪数,
盆腔炎性疾病后遗症-湿毒壅盛证,下腹胀痛拒按 腰骶部胀痛难忍 发热 恶寒 髙热不退 带下量多 带下色黄绿如脓 带下味臭秽 月经量多 经期延长 月经淋沥不尽 口苦口腻 大便溏泄 小便短少 舌红 苔黄腻 脉滑,
盆腔炎性疾病后遗症-湿热蕴结证,下腹胀痛 腰骶部胀痛 发热 热勢起伏 搴热往来 带下量多 带下色黄味臭 经期延长 月经淋沥不止 口腻纳呆 小便黄 大便溏 大便燥结 舌红 苔黄厚 脉滑,
盆腔炎性疾病后遗症-温热瘀结证,少腹胀痛 痛连腰骶 经行加重 劳累时加重 下腹癥块 带下量多 带下色黄 脘闷纳呆 口腻不欲饮 大便溏 大便秘结 小便黄赤 舌暗红 舌苔黄腻 脉滑 脉弦滑,
盆腔炎性疾病后遗症-气滞血瘀证,下腹胀痛 下腹刺痛 情志不畅则腹痛加重 月经量多 月经有瘀块 瘀块排岀则痛緩 胸胁、乳房胀痛 或伴带下量多 色黄质稠 或婚久不孕;舌紫暗或有瘀点 苔白或黄 脉弦涩,
盆腔炎性疾病后遗症-寒湿瘀滞证,下腹冷痛 下腹刺痛 腰骶冷痛 得温则减 带下量多 带下色白 带下质稀 月经量少 月经错后 月经色暗 月经夹血抉 大便溏泄 婚久不孕 舌质淡暗 舌有瘀点 苔白腻 脉沉迟 脉沉涩,
盆腔炎性疾病后遗症-气虛血瘀证,小腹隐痛 小腹坠痛 缠绵日久 痛连腰骶 下腹癥块 带下量多 带下色白 带下质稀 经期延长 月经量多 经血淡暗 精神蒌靡 体倦乏力 食少纳呆 舌淡暗 舌有瘀点 苔白 脉弦细 脉沉涩,
盆腔炎性疾病后遗症-肾虛血瘀证,下腹绵绵作痛 下腹刺痛 痛连腰骶 遇艻累则加重 喜温喜按 头晕耳鸣 畏寒肢冷 伴月经后期 月经量少 经血暗夹块 夜尿频多 婚久不孕 舌暗淡 苔白 脉沉涩,
子宫内膜异位症与子宫腺疾病-气滞血瘀证,经前小腹胀痛 经期小腹胀痛  拒按 后阴坠胀欲便 经行量或多或少 行经时间延长 色暗有血块 块下而痛稍减 盆腔有包块或结节 经前心烦易怒 胸胁 乳房胀痛 口干便结 舌紫暗 舌有瘀斑 瘀点 苔薄白 脉弦涩,
子宫内膜异位症与子宫腺疾病-寒凝血瘀证,经前小腹冷痛 经期小腹冷痛  拒按 得热痛减 经行量少 月经色紫暗 月经有抉 经血淋沥不浄 月经延后 盆腔有包块 盆腔有结节 形寒肢冷 大便不实 舌淡胖 舌紫暗 舌有瘀斑 舌有瘀点 舌苔白 脉沉迟而涩,
子宫内膜异位症与子宫腺疾病-湿热瘀阻证,经前小腹灼热疼痛 经期小腹灼热疼痛 拒按 得热增痛 月经量多 月经色红 月经质稠 月经有血块 月经淋漓不尽 盆腔有包块 盆腔有结块 带下量多 带下色黄 带下质黏 带下味臭气 身热口渴 头身肢体沉重刺痛 腰部胀痛 小便不利 便溏不爽 舌质紫红 舌苔黄 脉滑数 脉涩,
子宫内膜异位症与子宫腺疾病-气虚血瘀证,经期腹痛 肛门坠胀不适 经期延长 月经色暗淡 月经质桸 月经夹血抉 盆腔有结节 盆腔有包抉 面色淡 面色晦暗 神疲乏力 少气懒言 纳差便溏 舌淡胖 边尖有療斑 苔薄白 脉沉涩,
子宫内膜异位症与子宫腺疾病-肾虛血瘀证,经前腹痛 经期腹痛 月经先后无定期 经量或多或少 色暗有抉 盆腔有结节 盆腔有包块 腰膝酸软 腰脊刺痛 神疲肢倦 头晕耳鸣 面色晦暗 性欲减退 夜尿频 舌质暗淡 苔白 脉沉细涩,
子宫内膜异位症与子宫腺疾病-痰瘀互结证,经前小腹痛 经期小腹痛 拒按 盆腔有包块 盆腔有结节 月经量多 月经有血块 带下量多 带下色白质稠 形体肥胖 头晕 肢体沉重 胸闷纳呆 呕恶痰多 舌紫暗 舌边尖有瘀斑 苔腻 脉弦滑 脉涩,
多卵巢综合征-肾阴虚,月经初潮迟至 月经后期 月经量少 月经色淡质稀 闭经 月经延长 崩漏不止 婚久不孕 形体瘦小 面额痤疮 唇周细须显现 头晕耳鸣 腰膝酸软 手足心热 便秘溲黄 舌质红 少苔 无苔 脉细数,
多卵巢综合征-肾阳虚,月经初潮迟至 月经后期 月经量少 月经色淡 月经质稀 闭经 月经周期紊乱 月经经量多 月经淋沥不尽 婚久不孕 形体较胖 腰痛时作 头晕耳鸣 面额痤疮 性毛浓密 小便淸长 大便时溏 舌淡 苔白 脉沉弱,
多卵巢综合征-脾虛痰湿证,月经后期 量少色淡 月经稀发 闭经 形体肥胖 多毛 头晕胸闷 喉间多痰 肢倦神疲 脘腹胀闷 带下量多 婚久不孕 舌体胖大 色淡 苔厚腻 脉沉滑,
多卵巢综合征-气滞血瘀证,月经后期量少 月经有抉 闭经 精神抑郁 烦躁易怒 胸胁胀满 乳房胀痛 舌质暗红 舌有瘀点、瘀斑 脉沉弦涩,
多卵巢综合征-肝郁化火证,月经量少 闭经 月经紊乱 月经崩漏 月经淋沥 毛发浓密 面部痤疮 经前胸胁胀痛 经前乳房胀痛 肢体肿胀 大便秘结 小便黄 带下量多 外阴瘙痒 舌红 舌苔黄厚 脉沉弦 脉弦数,
